q_m	xn_p,	xn_he3,	xn_he4,	xn_c12,	xn_n14,	xn_o16,	xn_o18,	xn_ne20,	xn_ne22,	xn_mg24,	xn_si28,	xn_ni56,	density,	T,
0.05230787517633341	9.257175577762227e-14	0.0	5.219500184074955e-11	2.1868574717417493e-09	1.3881948628054086e-15	1.9073594668582194e-09	0.0	4.0102849154319084e-10	1.15740078233161e-17	8.494316847661466e-11	4.070575436008934e-11	1.8239087598484855e-10	5.9273043447818144e-06	0.999994067840081
0.05333341414308155	5.586114658354678e-14	0.0	5.4933606445291924e-11	2.1596950642281827e-09	1.2003728014766753e-15	1.8940872891699165e-09	0.0	3.754521448908903e-10	9.928733718778802e-18	7.629550515295135e-11	3.442284605608679e-11	1.2283052490949744e-10	7.0296853598878935e-06	0.9999929655968661
0.05435914593564955	3.6264719454012994e-14	0.0	5.87439273760753e-11	2.14254229931826e-09	1.0572714534883436e-15	1.8966401139572693e-09	0.0	3.42429292068356e-10	8.691709998067625e-18	6.570851526023874e-11	2.8837805442921394e-11	8.896919862089324e-11	8.421659651199511e-06	0.9999915737164404
0.05538474240636995	2.487717961240783e-14	0.0	6.19868048686651e-11	2.1533607387418145e-09	9.695956443203786e-16	1.927344785266828e-09	0.0	3.1095855719024797e-10	7.907473518036581e-18	5.5747561376656655e-11	2.4590246628965218e-11	6.870062770932309e-11	1.0269504865226117e-05	0.9999897258924196
0.05641035012786742	1.7570406001651175e-14	0.0	6.484509622726077e-11	2.20055379252205e-09	9.141433671109727e-16	1.989487098708727e-09	0.0	2.877440255393141e-10	7.309220947152888e-18	4.809066140628584e-11	2.1366765264189167e-11	5.607686350822855e-11	1.2992256014464986e-05	0.9999870030758027
0.0574360737167438	1.2211316751064488e-14	0.0	6.72574035444283e-11	2.264540067263616e-09	8.564263252983907e-16	2.061284453474809e-09	0.0	2.7485715548086647e-10	6.7185212193313415e-18	4.330465865538154e-11	1.8853826978678128e-11	4.5480629291102243e-11	1.6360747126052735e-05	0.9999836344772827
0.05846167604724391	8.58648474062301e-15	0.0	6.985066908036263e-11	2.3443316048654697e-09	8.058794021841895e-16	2.146734674243386e-09	0.0	2.651355049170653e-10	6.2323457254491895e-18	3.9429611866473134e-11	1.6746570609171715e-11	3.669983235591167e-11	2.0517044066897203e-05	0.9999794780369952
0.05948732658419901	6.76920747275551e-15	0.0	7.310541609471965e-11	2.4083160650163322e-09	7.410834449003022e-16	2.218004847901931e-09	0.0	2.5387735196281547e-10	5.693057764531199e-18	3.619099631600855e-11	1.499583258540156e-11	3.0780565995926937e-11	2.544437797493257e-05	0.9999745505867464
0.06051305626724625	5.245975876932217e-15	0.0	7.853185262218241e-11	2.47392927123015e-09	6.660236401855538e-16	2.2926917412883993e-09	0.0	2.406984150459066e-10	5.094224120926386e-18	3.322886600937736e-11	1.3425891256167273e-11	2.567740158087707e-11	3.0297846642862376e-05	0.9999696969951678
0.061538532573415815	4.1166966798290316e-15	0.0	8.66235071929986e-11	2.5367434732754756e-09	5.806222100926824e-16	2.3677298721678014e-09	0.0	2.2399624781287175e-10	4.456090213945835e-18	3.046336835658332e-11	1.2044321733054948e-11	2.1348992276015506e-11	3.667514868930701e-05	0.9999633195723562
